word,annotation
和,"相安，谐调
平静
平息争端
数学上指加法运算中的得数
连带
连词，跟，同
介词，向，对
指日本国
体育比赛不分胜负的结果
和谐地跟着唱
依照别人的诗词的题材或体裁作诗词
◎ 在粉状物中搅拌或揉弄使粘在一起
粉状或粒状物搀和在一起，或加水搅拌
量词，指洗衣服换水的次数或一剂药煎的次数"
修,"装饰，使完美
整治，恢复完美
剪或削
兴建，建造
编纂，撰写
（学问，品行方面）钻研、学习、锻炼
），高
信奉宗教的人虔诚地学习教义，并付诸行动"
乐,"使人快乐的事情
对某事甘心情愿
笑
声音，和谐成调的
喜好、欣赏。用于文言文
地名用字"
对,"答，答话，回答
朝着
处于相反方向的
跟，和
互相，彼此相向地
说明事物的关系
看待，应付
照着样检查
投合，适合，使相合
正确，正常，表肯定的答语
双，成双的
平分，一半
搀和（多指液体）
量词，双"
服,"衣裳
穿衣裳
作，担任
顺从
习惯，适应
吃（药）
乘，用
”）"
留,"停止在某一个地方
注意力放在上面
不忍舍弃，不忍离去
不使离开
接受
保存"
间,"两段时间或两种事物相接的地方
在一定空间或时间内
房子内隔成的部分
量词，房屋的最小单位
空隙
隔开，不连接
挑拨使人不和
拔去，除去
偏僻的小路
参与"
风,"空气流动的现象。气象学特指空气在水平方向的流动
像风那样迅速、普遍的
社会上长期形成的礼节、习俗
消息，传闻
表现在外的景象、态度、举止
指民歌、歌谣
中医学指某些疾病"
老,"年纪大，时间长，有经验，陈旧的
对年纪大的人的尊称
极，很
老年人
晚年
敬老，养老
总是，经常
原来的
”相对
词头，用于表排行，用于表相互尊称，或加在某些动植物名前构成多音节词
死的讳称"
身,"人、动物的躯体，物体的主要部分
指人的生命或一生
亲自，本人
统指人的地位、品德
孕，娠
量词，指整套衣服"
开,"启，张，把关闭的东西打开
分割
通，使通
使显露出来
扩大、发展
发动或操纵
起始
设置、建立
列举，写出
支付
沸腾，滚
举行
放在动词后面，表示效果"
度,"计算长短的器具或单位
事物所达到的境界
分角的单位，一圆周角分为360度
依照计算的一定标准划分的单位
法则，应遵行的标准
能容受的量
考虑，打算
过，由此到彼
量词，次
僧尼道士劝人出家
计算，推测"
九,"”代）
泛指多次或多数"
建,"立，设置，成立
造，筑
提出，倡议
指中国福建省
北斗的斗柄所指的方位。斗柄农历每月所指的方位不同，因此“建”亦转指月份（亦称“月建”、“月尽”）"
许,"应允，认可
承认其优点
预先答应给与
女方接受男方求亲
或者，可能
处，地方
表示约略估计的词
这样"
益,"增加
好处，有好处
更加"
改,变更，更换
流,"液体移动
像水那样流动不定
传播
指江河的流水
像水流的东西
向坏的方面转变
旧时的刑罚，把犯人送到荒远的地方去
品类，等级
指不正派"
孝,"对父母尽心奉养并顺从
居丧的事
丧服"
景,"环境的风光
情况，状况
佩服，敬慕
高，大"
参,"加入在内
相间，夹杂
检验，用其他有关材料来研究，考证某事物
探究，领悟
旧指下级进见上级
弹劾，向皇帝告状
星名，二十八宿之一
中药名"
率,"带领
轻易地，不细想，不慎重
爽直坦白
大概，大略
遵循
模范，楷模
”）
◎ 比值，两数之比"
赵,中国古代国名（①战国时代的“赵”；②西晋结束，匈奴族、羯族先后在北方建立“赵国”，史称“前赵”、“后赵”）
白,"雪花或乳汁那样的颜色
明亮
清楚
纯洁
空的，没有加上其它东西的
没有成就的，没有效果的
没有付出代价的
陈述
与文言相对
告语
丧事
把字写错或读错
政治上反动的
中国少数民族，主要分布于云南省"
云,"说话，引文
文言助词，句首句中句末都用
水气上升遇冷凝聚成微小的水珠，成团地在空中飘浮
指中国“云南省”"
久,"时间长
时间的长短"
客,"”相对
外出或寄居，迁居外地的（人）
服务行业的服务对象
指奔走各地从事某种活动的人
在人类意识外独立存在的
量词，用于论份儿出售的食品、饮料"
计,"核算
测量或核算度数、时间、温度等的仪器
主意，策略
谋划，打算"
击,"敲打，或做类似敲打的动作
攻打
碰，接触"
耳,"听觉和平衡感觉的器官（通称“耳朵”）
像耳朵的东西
像耳朵一样分列两旁的东西
听说
文言助词，而已，罢了
”）"
足,"脚
器物下部的支撑部分
充分，够量
完全
值得，够得上
增益"
抚,"慰问
扶持，保护
轻轻地按着"
陵,"大土山
高大的坟墓"
疏,"去掉阻塞使通畅
分散
”相对
不亲密，关系远的
不细密，忽略
空虚
不熟悉
粗劣
分条说明的文字"
督,"察看；监管
责罚
古代将官名"
辞,"告别
不接受，请求离去
躲避，推托
解雇
优美的语言
讲话；告诉
文体的一种"
败,"”相对
战胜，使失败
毁坏
解除，消散
破旧，衰落，腐烂"
谏,◎ 旧时称规劝君主或尊长，使改正错误
深,"”相对
从表面到底的距离
久，时间长
程度高的
颜色浓"
孙,"儿子的儿子
跟孙子同辈的亲属
孙子以后的各代
植物再生成孳生的"
遇,"相逢，会面，碰到
机会
对待，款待"
素,"本色，白色
颜色单纯，不艳丽
洁白的绢
本来的，质朴、不加修饰的
物的基本成分
向来
白，不付代价
”相对"
经,"”相对
地理学上指通过南北极与赤道成直角的线（亦作“子午线”）
作为思想、道德、行为等标准的书，亦称宗教中讲教义的书，或称某一方面事物的专著
治理，管理
通过
禁受
常行的，历史不变的
中医指人体内较大的脉络
表示动作的时间而且完成了
缢死，上吊
妇女每月一次由阴道排出血液"
终,"”相对
人死
副词，到底，总归
从开始到末了"
利,"”相对
使顺利、得到好处
与愿望相符合
”相对
从事生产、交易、货款、储蓄所得超过本钱的收获"
清,"”相对
安静，不烦
单纯不杂
明白，明晰
一点不留，净尽
整理，查验
详细登记
公正，廉洁
洁净，纯洁
高洁，高尚的，高明的
太平，不乱
中国朝代名"
才,"能力
从才能方面指某类人
副词。①方，始"
失,"丢
违背
找不着
没有掌握住
没有达到
错误
改变常态"
观,"看，察看
看到的景象或样子
对事物的看法、认识
道教的庙宇
楼台"
业,"国民经济中的部门
职务，工作岗位
学习的功课
重大的成就或功劳
从事
财产
既，已经
佛教名词"
病,"生物体发生不健康的现象
缺点，错误
损害，祸害
不满，责备
烦躁，担忧"
实,"充满
符合客观情况，真，真诚
植物结的果
富足"
乱,"没有秩序
社会动荡，战争，武装骚扰
混淆
任意随便
男女关系不正当
横渡
治理
古代乐曲的最后一章或辞赋末尾总括全篇要旨的部分"
固,"结实，牢靠
坚定，不变动
本，原来"
卫,"保护，防护
防护人员
古代称驴
中国明代驻兵的地点（后只用于地名）"
宫,"房屋（封建时代专指帝王的住所）
神话中神仙居住的房屋
庙宇的名称
一些文化娱乐场所"
吴,"中国周代诸侯国名，在今江苏省南部和浙江省北部，后扩展至淮河下游一带
中国东汉末年三国之一
泛指中国江苏省南部和浙江省北部一带"
好,"”相对
身体康健，疾病消失，生活幸福
友爱，和睦
容易
完成，完善
表示应允、赞成
很，甚
便于
反话，表示不满意
）相对
常常，容易（发生事情）"
镇,"压
以武力维持安定
安定
军事上重要的地方
较大的集市
把饮料等同冰或冷水放在一起使凉
整个一段时间
时常"
齐,"东西的一头平或排成一条直线
达到，跟什么一般平
同时；同样；一起
全；完全
中国朝代名
调剂
药剂
界限；分际
成功；成熟
斋戒
庄敬"
继,连续，接着
奉,"恭敬地用手捧着
尊重，遵守
敬辞，用于自己的举动涉及对方时
信仰
供养，伺候"
致,"送给，给予
招引，使达到
样子，情趣
细密，精细"
易,"”相对
和悦
改变
交换
轻慢
芟治草木"
谋,"计划，计策，主意
设法寻求
商议"
视,"看
亲临某事
看待
看望
比照"
兼,"加倍，把两份并在一起
同时涉及或所具有的不只一方面"
贵,"”相对
指地位高
敬辞，称与对方有关的事物
特别好的，重要的
值得看重，重视
指中国贵州省"
罢,"停，歇
免去，解除
完了，毕"
海,"靠近大陆，比洋小的水域
用于湖泊名称
容量大的器皿，巨大的
喻数量多的人、事物像海的
漫无目标地
古代指从外国来的
特指中国上海"
告,"说给别人，通知
向行政司法机关检举、控诉
表明，请求
宣布或表示某种情况出现"
解,"剖开，分开
把束缚着、系着的东西打开
除去，除，废除，停止
溶化
讲明白，分析说明
懂，明白
调和，处理
高兴，开心
排泄
演算方程式
押送财物或犯人
旧时指杂技表演的各种技艺，特指骑在马上表演的技艺"
户,"一扇门，门
人家
会计部门称账册上有业务关系的团体或个人
门第"
思,"想，考虑，动脑筋
想念，挂念
想法"
代,"替
历史上划分的时期
世系的辈分"
坐,"古人双膝跪地，把臀部靠在脚后跟上，这是其本义，后泛指以臀部着物而止息
乘，搭
坚守，引申为常驻，不动
建筑物的位置或背对着某一方向
把锅、壶等放在火上
物体向后施压力
介词，因，由于，为着
定罪
瓜果等植物结实"
由,"原因
自，从
顺随，听从，归属
经过，经历
凭借"
任,"相信，信赖
使用，给予职务
负担，担当
职务
由着，听凭
不论，无论"
权,"职责范围内支配和指挥的力量
有利的形势
变通，不依常规
暂且，姑且
秤锤
衡量，估计"
引,"拉，伸
领，招来
拿来做证据、凭据或理由
退却
古代柩车的绳索"
听,"用耳朵接受声音
顺从，接受别人的意见
任凭，随
治理；判断
量词，指马口铁密封成筒状以贮藏食物、饮料等"
弟,"同父母（或只同父、只同母）的比自己年纪小的男子
亲戚或亲族间辈分相同的比自己年纪小的男子
称同辈比自己年纪小的男性
学生对老师自称或别人指称"
本,"草木的根
”相对
草的茎，树的干
中心的，主要的
原来
自己这方面的"
理,"物质本身的纹路、层次，客观事物本身的次序
事物的规律，是非得失的标准，根据
自然科学，有时特指“物理学”
按事物本身的规律或依据一定的标准对事物进行加工、处置
对别人的言行作出反应"
衣,"人穿在身上用以蔽体的东西
披或包在物体外面的东西"
远,"”相对
时间长
关系疏，不亲密
深奥
◎ 避开"
尉,"古代官名，一般是武官
军衔的一级，在校以下"
关,"闭，合拢
拘禁
古代在险要地方或国界设立的守卫处所
征收进出口货税的机构
重要的转折点，不易度过的时机
牵连，联属
旧指发给或支领薪饷"
给,"交付，送与
把动作或态度加到对方
替，为
被，表示遭受
把，将
供应
富裕，充足
敏捷"
广,"”相对
多
扩大，扩充
”。草屋。清桂馥《説文解字義證•广部》
依山崖建造的房屋。《説文•广部》
屋脊。《古今韻會舉要•琰韻》:“广，《增韻》"
执,"拿着
掌握
捕捉，逮捕
坚持
实行
凭单
朋友"
莫,"不要
没有，无
不，不能"
永,"水流长
久远"
临,"从上向下看，在高处朝向低处
到，来
遭遇，碰到
挨着，靠近
照样子摹仿字画
旧时指帝王上朝"
异,"不同的
分开
另外的，别的
特别的
奇怪"
顾,"回头看，泛指看
照管，注意
商店或服务行业称来买货物或要求服务的
拜访
文言连词，但、但看
文言连词，反而、却"
志,"意向
记在心里
记载的文字
记号
〈方〉称轻重，量长短、多少"
说,"用话来表达意思
介绍
言论，主张
责备
◎ 用话劝说别人，使他听从自己的意见"
承,"在下面接受，托着
担当，应允
受到，蒙受
继续，接连
顺从，迎合"
望,"看，往远处看
拜访
希图，盼
人所敬仰的，有名的
向，朝着
月圆，农历每月十五日前后
埋怨，责备"
物,"人以外的具体的东西
内容，实质
指自己以外的人或跟自己相对的环境"
仁,"一种道德范畴，指人与人相互友爱、互助、同情等
果核的最内部分或其他硬壳中可以吃的部分"
仲,"兄弟排行次序二
在当中的"
属,"同一家族的
类别
有管辖关系的，也指有管辖关系的人或单位
归类
为某人或某言所有
系，是
用十二生肖记生年
连缀，接连
（意念）集中于一点
倾注，引申为劝酒
恰好遇到"
传,"）授，递
推广，散布
解说经义的文字
记载某人一生事迹的文字
以演述历史和人物故事为中心的文学作品
古代设于驿站的房舍，亦指驿站上所备的马车"
宁,"平安，安定
旧时已嫁的女子或在外子女回家省视父母
情愿
岂，难道
语助，无实际意义"
擢,"拔
提拔，提升"
破,"碎，不完整
分裂
使损坏
超出
花费，耗费
打败，打垮
揭穿"
保,"看守住，护着不让受损害或丧失
维持原状，使不消失或减弱
负责
旧称佣工"
路,"道，往来通行的地方
思想或行动的方向、途径
方面，地区
种类
大，正
车"
难,"不容易，做起来费事
不大可能办到，使人感到困难
不好
灾祸，困苦
仇怨
诘责，质问"
边,"物体的周围部分，外缘
国家或地区交界处
几何学上指夹成角或围成多角形的直线
旁侧，近旁
方面
表示方位"
皇,"君主，亦指神话传说中的神
大
对先代的敬称"
威,"表现出来使人敬畏的气魄
凭借力量或势力"
魏,"古代宫门上的楼台
中国历史上的北朝之一"
应,"该，当，又引申料想理该如此
回答
随，即
回答或随声相和
接受，允许，答应要求
顺合，适合
对待"
夏,"一年的第二季
中国朝代名
指中国"
嘉,"善，美
夸奖，赞许
吉庆，幸福
欢乐"
止,"停住不动
拦阻，使停住
仅，只"
田,"种植农作物的土地
和农业有关的"
攻,"”相对
指责，驳斥
治病
致力学习或研究"
亡,"逃
失去
死
灭"
悉,"知道
尽，全"
登,"上，升
踩，践踏，脚向下用力
记载
谷物成熟
立刻
进
方言，穿"
置,"放，摆，搁
设立，设备
购买"
林,"长在一片土地上的许多树木或竹子
聚集在一起的同类的人或事物"
楚,"古代的刑杖，或学校扑责学生的小杖
中国春秋时国名
指中国湖北省和湖南省，特指湖北省
痛苦
清晰，鲜明，整洁"
寻,"找，搜求
古代的长度单位（一寻等于八尺）"
教,"指导，训诲
使，令
指“宗教”
传授"
群,"相聚成伙的，聚集在一起的
众人
量词，用于成群的人或物"
酒,◎ 用高粱、米、麦或葡萄等发酵制成的含乙醇的饮料
反,"翻转，颠倒
”相对
抵制，背叛，抗拒
和原来的不同，和预感的不同
回击，回过头来
类推"
乞,向人讨、要、求
奇,"特殊的，稀罕，不常见的
出人意料的，令人不测的
惊异，引以为奇
”相对
零数"
赠,"把东西无代价地送给别人
古代皇帝为已死的官员及其亲属加封
驱除"
遗,"丢失
漏掉
丢失的东西，漏掉的部分
余，留
死人留下的
不自觉地排泄
生物体的构造和生理机能由上一代传给下一代
抛弃"
表,"外部，外面，外貌
显示
中医指用药物把感受的风寒发散出来
分类分项记录事物的文件
计时间的器具，通常比钟小，可以带在身边
计量某种量的器具
标志，榜样
称呼父亲或祖父的姊妹、母亲或祖母的兄弟姊妹生的子女，用来表示亲属关系
测量的标尺
封建时代称臣子给君主的奏章
树梢"
便,"顺利，没有困难或阻碍
简单的，礼节上非正式的
便利的时候
就
排泄屎尿或排泄出来的屎尿
〔～宜〕物价较低"
历,"经过
经过了的
遍、完全
推算年、月、日和节气的方法"
职,"）内应做的事
职位，执行事务所处的一定地位
旧时公文用语，下属对上司的自称
掌管
由于"
荣,"草木茂盛，引申为兴盛
”相对
草开花，亦泛指草木的花"
语,"话
指“谚语”或“古语”
代替语言的动作
说
告诉"
指,"手伸出的支体（脚趾亦作“脚指”）
量词，一个手指的宽度
（手指或物体尖端）对着，向着
点明，告知
直立，竖起
意向针对"
车,"陆地上有轮子的交通工具
用轮轴来转动的器具
用水车打水
指旋床或其他机器
用旋床加工工件
方言，转动身体"
谥,"古代帝王或大官死后评给的称号
叫作，称为"
强,"”相对
程度高
胜过，优越，好
有余，略多于某数
使用强力，硬性地
着重，增加分量
硬要，迫使，尽力
固执，强硬不屈"
寇,"盗匪，侵略者，亦指敌人
侵略者来侵犯"
持,"拿着，握住
遵守不变
主张，掌管
对待，处理
扶助"
延,"引长
展缓，推迟
引进，请"
选,"挑拣，择
用投票或举手等表决方式推举出代表或负责人
被选中的（人或物）
选辑成册的作品"
怒,"生气，气愤
气势盛
中国少数民族，主要分布于云南省
谴责"
被,"睡觉时覆盖身体的东西
盖，遮覆
遭遇，遭受
介词，用在句中表示主讲是受事者
用在动词前，表示受动"
游,"人或动物在水里行动
从容地行走
〈书〉交往，来往
不固定
河流的一段"
追,"赶，紧跟着
回溯过去，补做过去的事
竭力探求，寻求
雕琢"
曹,"等，辈
古代分科办事的官署"
阁,"类似楼房的建筑物，供远眺、游憩、藏书和供佛之用
特指女子的卧房
小木头房子
某些国家的最高行政机关"
舍,"放弃，不要了
施舍
居住的房子
居住，休息
谦辞，多指亲属中比自己年纪小或辈分低的
古代行军一宿或三十里为一舍"
处,"居住
存在，置身
跟别人一起生活，交往
决定，决断
对犯错误或有罪的人给予相当的惩戒
止，隐退
地方
点，部分
机关，或机关、团体、单位里的部门"
惟,"单，只
但是
文言助词，常用于句首
想，思考"
首,"头，脑袋
领导的人，带头的
第一，最高
最先，最早
出头告发
量词，指诗和歌"
圣,"旧时称所谓人格最高尚的、智慧最高超的人
最崇高的，对所崇拜的事物的尊称
封建时代美化帝王的说法
称学问、技术有特高成就的
”《説文•土部》"
转,"迁徙；流亡
不直接的，中间再经过别人或别的地方
改换方向
改变位置
改变形势、情况
旋转
使旋转
围绕着一个中心运动
量词，旋转一圈为一转
量词，古代勋位每升一级称“一转”"
总,"聚合，聚在一起
概括全部，主要的
为首的，最高的
束系，束头发
经常，一直
一定，无论如何"
幸,"意外地得到成功或免去灾害
福气
高兴
希望
宠爱
指封建帝王到达某地"
分,"区划开
由整体中取出或产生出一部分
由机构内独立出的部分
散，离
辨别
区划而成的部分
一半
名位、职责、权利的限度
构成事物的不同的物质或因素
料想
”，属于一定的阶层、集团或具有某种特征的人"
阴,"”相对
指“月亮”
带负电的
云层较厚，遮住阳光
不见阳光，亦指不见阳光的地方
不露出表面的，暗中的
背地捣鬼，险恶
指冥间
凹进的
指时间
生殖器"
免,"去掉，除掉
不被某种事物所涉及
不可，不要"
晋,"进
中国山西省的别称
中国朝代名"
察,仔细看，调查研究
走,"行
往来
移动
往来运送
离去
经过
透漏出去，超越范围
失去原样
古代指奔跑
”的谦辞"
降,"下落，落下
减低，贬抑
投降，归顺"
诛,"把罪人杀死
责罚
责求"
斩,砍断
累,"连续，重叠，堆积
照原数目多少而递增
连及，连带
疲乏，过劳
使疲劳"
巡,"到各处去，来回走动查看
酒席上给全座依次斟酒一遍"
领,"颈，脖子
衣服上围绕脖子的部分
事物的纲要
）
治理的，管辖的
接受，取得
了解，明白
量词，用于衣服、席、箔等"
讨,"查究，处治
征伐，发动攻击
研究，推求
索取
求，请求
惹
娶"
伏,"趴，脸向下，体前屈
低下去
屈服，承认错误或受到惩罚
使屈服
隐藏
农历划分夏季最炎热的三个阶段"
乡,"泛指城市外的区域
自己生长的地方或祖籍"
凡,"平常的，不出奇的
指人世间（宗教或迷信的说法）
所有的
总共
大概，要略"
近,"”相对
现在以前不久的时间
亲密
差别小，差不多
浅显"
绝,"断
尽，穷尽
极，极端的
独特的，少有的，没有人能赶上的
一定的，肯定的
越过
旧体诗的一种体裁"
丧,"跟死了人有关的事
丢掉，失去"
喜,"高兴，快乐
可庆贺的，特指关于结婚的
妇女怀孕
爱好
适于"
第,"次序
科举考试及格的等次
封建社会官僚贵族的大宅子
但"
辄,"总是，就
仗恃胡作非为"
就,"凑近，靠近
到，从事，开始进入
依照现有情况或趁着当前的便利，顺便"
恐,"害怕，畏惧
）
疑虑"
爱,"对人或事有深挚的感情
）
容易
重视而加以保护
吝惜"
监,"督察
牢，狱
古代官名或官府名"
备,"具备；完备
预备；准备
设备"
怀,"思念，想念
包藏
胸前
心意
安抚
归向，使降顺"
情,"外界事物所引起的喜、怒、爱、憎、哀、惧等心理状态
专指男女相爱的心理状态及有关的事物
对异性的欲望，性欲
私意
状况"
盗,"偷窃，用不正当的手段营私或谋取
偷窃或抢劫财物的人"
疑,"）
不能解决的，不能断定的"
汝,你
两,"数目，二。一般用于量词和“个、半、千、万、亿”前
双方
中国市制重量单位
表示不定数目"
龙,"传说中的一种长形、有鳞、有角的神异动物，能走，能飞，能游泳，能兴云作雨
古生物学中指一些巨大的有四肢有尾或兼有翼的爬虫
封建时代用作皇帝的象征，或称关于皇帝的东西"
变,"性质状态或情形和以前不同；变化；改变
变成
使改变
能变化的；已变化的
变卖
变通
有重大影响的突然变化
指变文"
予,"”，我
◎ 给与"
姓,"表明家族的字
平民"
夜,”相对
争,"力求获得，互不相让
力求实现
方言，差，欠
怎么，如何（多见于诗、词、曲）"
合,"闭，对拢
聚集
不违背，一事物与另一事物相应或相符
应该
总共，全
计，折算"
几,"小或矮的桌子
将近，差一点
苗头
询问数量多少（估计不太大）的疑问词
表示不定的数目"
神,"迷信的人称天地万物的创造者和所崇拜的人死后的精灵
不可思议的，特别希奇的
不平凡的，特别高超的
心思，心力，注意力
表情
精神"
狱,"监禁罪犯的地方
罪案，官司"
台,"高平的建筑物
像台的东西，器物的座子
量词
台湾省的简称
桌子、案子
敬辞，用于称呼对方或与对方有关的事物"
性,"人或事物的本身所具有的能力、作用等
性质，思想、感情等方面的表现
男女或雌雄的特质
有关生物生殖的"
犹,"相似，如同
尚且
）"
退,"”相对
离开，辞去
送还，不接受，撤销
脱落
和柔的样子
迟缓，畏缩"
黄,"像金子或向日葵花的颜色
特指中国黄河
指“黄帝”（即“轩辕氏”，传说中原始社会部落联盟首领）
事情失败或计划不能实现"
殿,"高大的房屋，特指帝王所居和朝会的地方，或供奉神佛的地方
在最后"
更,"改变，改换
经历
旧时夜间计时单位，一夜分为五更
愈加；越发
再，又"
容,"）
对人度量大
让，允许
相貌，仪表，景象，状态
或许，也许"
再,"两次；第二次
重复；继续
副词。（①表示又一次"
口,"”）
容器通外面的地方
出入通过的地方
特指中国长城的某些关口（多用作地名）
破裂的地方"
布,"棉、麻及棉型化学短纤维经纺纱后的织成物
宣告，对众陈述
分散到各处
流传，散播
做出安排"
徐,缓，慢慢地
厚,"扁平物体上下两个面的距离
”相对
），浓，多
不刻薄，待人好
重视，推崇"
具,"器物
备有
备，办
量词，用于某些器物和棺材、尸体"
荐,"推举，介绍
频仍，屡次
进献，祭献
草
草席，垫子"
私,"”相对
不公开的，秘密而又不合法的
暗地里"
乘,"骑，坐
趁着，就着
算术中指一个数使另一个数变成若干倍
佛教的教派或教法
古代称兵车，四马一车为一乘
古代称四为乘
中国春秋时晋国的史书称“乘”，后通称一般的史书"
邑,"城市，都城
旧指县
古代诸侯分给大夫的封地"
刑,"对犯罪的处罚
特指对犯人的体罚"
杨,落叶乔木，叶互生，卵形或卵状披针形，柔荑花序，种类很多，有白杨，大叶杨，小叶杨等多种，木材可做器物
达,"通
通晓
遍，全面
到
实现
传出来
得到显要的地位"
伯,"兄弟排行次序
父亲的哥哥
对父辈戚友的尊称
封建制度五等爵位的第三等
旧时对文章、道德足为表率者的尊称"
密,"”相对
关系近，感情好
不公开，不公开的事物
精致，细致"
待,"等，等候
以某种态度或行为加之于人或事物
将，要（古典戏曲小说和现代某些方言的用法）
◎ 停留，逗留，迟延"
崇,"高
尊重，推重
充，充满
增长"
营,"军队驻扎的地方，借指按编制集体生活的地方
筹划，管理，建设
谋求"
射,"放箭
用推力或弹力送出子弹等
气体或液体等受到压力迅速流出
放出光、热、电波等
有所指"
庆,"祝贺
可祝贺的事"
散,"分开，由聚集而分离
分布，分给
排遣
解雇
没有约束，松开
分开的，分离的
零碎的
中医称药末"
省,"地方行政区域
节约，不费
简易，减免
中国古官署名
古代称王宫禁地
检查
知觉，觉悟
看望父母、尊亲"
良,"好
善良的人
很"
秋,"一年的第三季
庄稼成熟的时期
指一年"
鲁,愚拙，蠢笨
养,"抚育，供给生活品
饲养动物，培植花草
抚养的（非亲生的）
教育，训练
使身心得到滋补和休息
保护修补"
谢,"对别人的帮助或赠与表示感激
认错，道歉
推辞
凋落，衰退
告诉，询问
逊，不如"
春,"一年的第一季
两性相求的欲望
生机"
徒,"步行
空
白白地
只；仅仅
从事学习的人
同一派系或信仰同一宗教的人
人（多指坏人）
剥夺犯人自由的刑法"
获,"打猎得到的禽兽
得到，取得
古代对奴婢的贱称
能得到机会或空闲
收割庄稼"
仕,"做官
审察"
忧,"发愁
可忧虑的事
指父母之丧"
兄,◎ 哥哥
质,"本体，本性
朴素，单纯
问明，辨别，责问
抵押或抵押品"
邪,"不正当，不正派
中医指引起疾病的环境因素
迷信的人指鬼神给予的灾祸
妖异怪诞"
帅,"军队中最高级的指挥官
遵循"
徙,"迁移
古代称流放的刑罚"
恶,"不好
凶狠
犯罪的事，极坏的行为
文言叹词，表示惊讶
）”相对"
报,"传达，告知
传达消息和言论的文件、信号或出版物
回答
由于做了坏事而受到惩罚"
辅,"帮助，佐助
古代指京城附近地区
人的颊骨"
著,"显明，显出
写文章，写书
写作出来的书或文章"
副,"”
附带的，次要的
）
◎ 剖开，裂开"
旧,"”相对
东西因经过长时间而变了样子
原先曾有过的，过去很长时间的
有交情，有交情的人"
盖,"有遮蔽作用的东西
伞
由上往下覆，遮掩
压倒，超过
方言，超出一般地好
用印，打上
造（房子）"
声,"物体振动时所产生的能引起听觉的波
消息，音讯
说出来让人知道，扬言，宣称
名誉
音乐歌舞"
号,"名称
旧指名和字以外的别号
记号，标志
排定的次序或等级
扬言，宣称
指某种人员
标上记号
号令，命令
军队或乐队里所用的西式喇叭
量词，用于人数
拖长声音大声呼叫
大声哭"
恩,◎ 好处，深厚的情谊
胜,"在斗争或竞赛中打败对方或事业达到预定目的
超过，占优势
优美的
古代妇女的饰物
）
）"
新,"”相对
”相对
不久以前，刚才
表示一种有异于旧质的状态和性质
称结婚时的人或物"
钱,"货币
费用
财物
圆形像钱的东西"
弘,"”）
扩充，光大"
原,"最初的，开始的
本来
谅解，宽容
宽广平坦的地方"
校,"学堂，专门进行教育的机构
古代军队编制单位
比较
查对、订正"
梁,"架在墙上或柱子上支撑房顶的横木，泛指水平方向的长条形承重构件
桥
器物、身体或其他物体上中间高起的部分"
舟,船
唐,"夸大，虚夸
空，徒然
朝代名"
宋,中国朝代名
愿,"乐意，想要
希望
迷信的人对神佛许下的酬谢，泛指许给别人的好处"
济,"渡，过河
对困苦的人加以帮助
补益"
色,"由物体发射、反射的光通过视觉而产生的印象
脸上表现出的神气、样子
情景，景象
种类
品质，质量
妇女美貌
情欲
〈口〉颜色"
务,"事情
从事，致力
追求
必须，一定
旧时收税的关卡（现多用于地名）"
福,"”相对
旧时妇女行礼的姿势
祭神的酒肉
保祐"
尔,"你，你的
如此
那，其（指时间）
”）
”"
果,"某些植物花落后含有种子的部分
”相对
坚决
确实，真的
充实，饱足"
注,"灌进去
（精神、力量）集中在一点
用文字来解释词名
解释词句所用的文字
记载，登记
赌博时所下金钱财物
量词，多用于款项或交易"
推,"手抵物体向外或向前用力使物移动
使用工具向前移动进行工作
使事情开展
进一步想，由已知之点想到其它
往后挪动（时间上）
辞让，脱卸
举荐，指出某人优点
让出，献出"
决,"排除阻塞物，疏通水道
堤岸被水冲开
断定，拿定主意
一定（用在否定词前）
决定最后胜败
执行死刑"
仆,"向前跌倒
”相对"
敌,"有利害冲突不能相容的
指敌人
抵挡
相当
仇视"
交,"付托，付给
相错，接合
互相来往联系
与人相友好
一齐，同时
两性和合"
美,"好，善
得意，高兴
称赞，以为好
指“亚美利加洲”（简称“美洲”）
指“美国”"
他,"称你、我以外的第三人，一般指男性，有时泛指，不分性别
别的，另外的
虚指"
诚,"真心
实在，的确"
随,"跟着
顺从，任凭
顺便，就着
像"
气,"没有一定的形状、体积，能自由散布的物体
呼吸
自然界寒、暧、阴、晴等现象
鼻子闻到的味
人的精神状态
怒，或使人发怒
欺压
中医指能使人体器官发挥机能的动力
中医指某种症象
景象"
诗,文学体裁的一种，通过有节奏和韵律的语言反映生活，抒发情感
急,"焦燥
气恼，发怒
使着急
匆促
迅速，又快又猛
迫切，要紧
严重
对大家的事情或别人的困难尽快帮助"
真,"”相对
确实，的确
清楚，显明
本性，本原
人的肖像
汉字的楷书"
纳,"收入，放进
接受
享受
缴付
补缀，缝补；现多指密密地缝"
负,"）
担任
仗恃，依靠
遭受
具有，享有
欠（钱）
”相对
”相对
违背，背弃
”相对"
手,"人使用工具的上肢前端
拿着
亲自动手
技能、本领
做某种事情或擅长某种技能的人
小巧易拿的"
害,"”相对
引起灾难的人或事物，坏处
使受损伤
发生疾病
心理上发生不安定情绪
杀死
妒忌"
室,"屋子，房间，亦指家
家，家族
机关团体内部的工作单位
古指妻子（亦指为子娶妻或以女嫁人）"
敬,"尊重，有礼貌地对待
表示敬意的礼物
有礼貌地送上去
谨慎，不怠慢"
